id,label,prediction,statement
10587,0,0,"In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation"" of ""the Hyde amendment."
20124,0,0,Says Kathy Hochul is Nancy Pelosi's stepsister.
15337,0,0,"Tina (Smith) profited from the opioid crisis."" ​"
17152,0,0,"Coronavirus patients are being ""cremated alive"" in China."
3811,0,0,"Says President Barack Obama promised he would cut the deficit in half, but instead will at least double it."
17785,0,0,"Piles of bricks are being staged in cities around the country, indicating riots are planned."
8599,1,0,"Says Sen. Thad Cochran ""voted to spend hundreds of millions of dollars on ... the Bridge to Nowhere in Alaska instead of shifting the money to repair a bridge damaged by Hurricane Katrina."
1874,1,0,"Today, Florida is in 50th place in spending on education."
6053,0,1,"One of the key things about Leonard Lance is that in 2008, when you look at [the] Project Vote Smart website, he was not for guns. Now he has gone too far to the right, saying that you can carry concealed weapons in national parks."
2321,1,0,"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and ""we still lost more than 2.5 million jobs."
4373,0,0,Senate Bill 5 makes it harder for nurses to give the patients the quality care they need.
6236,1,0,We have more scientists and engineers per square mile than anywhere in the world.
11440,0,0,"Says Supreme Court nominee Merrick Garland ""voted, so the folks know, in Washington, D.C., to keep guns away from private citizens."
7368,0,0,"Forty-six cents of every dollar"" Ohio could get for Medicaid expansion ""is going to come from China or some other country that doesn't like us very much."
9128,1,0,The U.S. Court of Appeals for the Fourth Circuit compared the health care law to buying a pepperoni and ham pizza from Domino's or Pizza Hut.
9122,0,0,"More than 3,000 homicides were committed by ""illegal aliens"" over the past six years."
3623,0,0,Says his barehanded catch posted on YouTube is real.
2784,0,0,"Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS."
19618,0,0,"Derek Chauvin's attorney said that space aliens ""inhabited the body of Derek Chauvin and caused this death."
5251,0,0,"Says ""the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner."
17526,1,0,Hospitals get paid more to list patients as COVID-19.
2441,0,0,"Loranne ""Ausley's a financial train wreck for taxpayers -- pushing gas taxes, property taxes, taxes on seniors."
5034,1,0,"A bill delaying the start of classes until Labor Day would permit school districts ""to shave 5 full weeks off the school year."
6742,0,0,More than 50 percent of those people getting minimum wage in this state are high school students.
10270,1,0,"Due to ""over-incarceration … in 1950, two out of three young black men were in the workforce. Today, it's one out of three black men are in the workforce."
21578,1,0,"$3 million per day in ""your tax dollars"" are being spent to guard ""unused border wall materials."
10109,1,1,"There's just one piece of legislation that is now law"" with Sen. Ted Cruz's ""name on it."
9605,0,0,My opponent supported policies that increased tuition by 18 percent.
8825,1,1,"U.S. teenagers have now fallen behind their counterparts in Ireland, Poland and even Vietnam in math and science."
8519,0,0,"Under Scott Walker, Wisconsin ""unemployment's up"" from 4.8% to 6.2%"
5769,0,0,"Says that under President Obama, there's been a substantial increase in federal government jobs."
6853,1,0,"Says Rick Scott's proposal for election reform ""only mandates 48 hours of early voting."
18578,0,0,"When Sara Gideon ""knew the truth about"" sexual allegations against a state lawmaker, ""she could have called for an immediate investigation, but didn't…Gideon knew for months, using her power to cover up."
437,1,0,"Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no."
4851,1,0,Says the state tax burden per citizen in New York is twice as high as in Florida.
11158,0,0,"The United States has a ""record number of abortions year after year after year."
20017,0,1,"Unvaccinated, you can get COVID and have over 99% chance of survival. Get vaccinated and you can still get COVID and will still have over 99% chance of survival."
17106,0,0,Says a photo shows an elephant carrying a lion cub to a pool of water so it wouldn't die.
10415,0,0,"Says South Carolina Gov. Nikki Haley ""is an immigrant."
4822,1,1,"Says he's proposed ""the largest employer contribution to the Virginia Retirement System in history."
4202,0,0,"Say Ohio Reps. Marcia Fudge, Marcy Kaptur and Dennis Kucinich are ""socialists who are openly serving in the U.S. Congress."
15994,0,0,Says Mitch McConnell was cured of polio when he was a child by government-funded care and now he's trying to take that same care away from millions of Americans
7899,1,1,"Louie Gohmert of Texas ""compared the current general-in-charge in Egypt to George Washington."
16101,1,1,"In fact, 'high Crimes and Misdemeanors' is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars."
13498,1,1,This is not the first time (the Russians) have been involved in our elections.
21283,0,0,"Dave McCormick is ""liberal, pro-Biden, pro-China."
15295,0,0,"President Donald Trump signed DEPLOYMENT ORDERS for the 82nd Airborne Division of the United States Army, instructing them to deploy from Ft. Bragg, NC, to the U.S. southern border at Mexico."
10195,0,0,Rosalyn Dance voted against President Obama's Medicaid expansion.
297,1,0,"But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy."
23031,1,0,The New York state budget covers 96% of eligible preschoolers
18637,1,0,"Says Debbie Mucarsel-Powell's family received $700,000 from the firm of ""violent warlord Ihor Kolomoisky,"" who is compared to Fidel Castro and Nicolás Maduro."
10228,0,0,We spend more money on antacids than we do on politics.
11318,0,0,"Says Milwaukee County Executive Chris Abele spent ""$100,000 of taxpayer money on a new luxury SUV."
17619,0,0,"Under the mayor's COVID-19 order, Kansas City ""churchgoers must register with the government."
19642,0,0,"Human trafficking and drugs"" at the Mexico border have ""doubled, tripled and quadrupled"" since Joe Biden became president."
2779,1,1,"An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces."
10486,1,1,"Limberbutt McCubbins (a five-year-old cat) is a candidate"" in the 2016 presidential election."
16749,0,0,"Says ABC 7 reported the Santa Clarita high school shooting ""3 weeks in advance."
3019,1,0,"Says ""every school will be negatively impacted"" if Education Stability Fund is not tapped."
2550,0,0,"Dan Seals has been running for office ""since before there were, like, iPods."
7604,1,0,"Says ""our deficits are falling at the fastest rate in 60 years."
17299,0,0,The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.
10148,0,0,"Says U.S. Rep. Patrick Murphy has ""sided with the GOP on key votes twice as often as he sided with Democrats."
19782,1,0,"A Republican bill in Michigan ""would make it a crime for election officials … to share information about how to vote by mail and where to find a ballot drop box."
16078,0,0,"Says NASA spent more than $165 million over 10 years to develop a pen that ""writes in zero gravity, upside down"" and in extreme temperatures while the ""Russians used a pencil instead."
11821,1,0,"Says Obama ""called Kagan a moderate. He called Sotomayor a moderate."
17520,0,0,"Says a photo shows the ""SAME EXACT PEOPLE"" at ""two different beaches"" in Los Angeles County and Jacksonville, Fla."
8388,0,0,Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.
19945,0,0,"Says Republican leaders ""are working hard to cover up election corruption in Wisconsin."
15944,0,0,"Says Donald Trump wrote in his book, ""Being an atheist gives me an edge in every deal. Christians are too moral for business."
23160,0,0,"Displaying the progress pride flag between two American flags during a White House pride event was ""in breach of US Flag Code."
21702,0,0,Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.
21230,0,0,"Joe Biden's open border"" means that there are ""more Democrat voters pouring into this country."
8711,0,0,ObamaCare enrollment lie: Obama counts an enrollee as a web user putting a plan in 'their online shopping carts.'
8078,0,0,"In ""reality,"" there have ""been no problems whatsoever"" with the Texas voter ID law."
