,Text,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
51,house give final approval to tax bill delivering victory to trump,0.0,0.0,0.0,0.0,2.0,10.0,11.0,8.0,3.0,0.0,3.0,0.0,4.0
52,u tax plan roils popular bet in bond market,0.0,0.0,0.0,0.0,2.0,9.0,9.0,8.0,1.0,0.0,1.0,0.0,1.0
53,u lawmaker seek temporary extension to internet spying program,0.0,0.0,0.0,0.0,2.0,9.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0
54,trump commute fraud sentence of kosher meatpacker,0.0,0.0,0.0,0.0,1.0,7.0,7.0,4.0,3.0,0.0,1.0,1.0,3.0
55,u responds in court fight over illegal indonesian immigrant,0.0,0.0,0.0,0.0,3.0,9.0,9.0,5.0,4.0,0.0,1.0,2.0,4.0
56,democrat franken to leave senate on january,0.0,0.0,0.0,1.0,4.0,7.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0
57,u lawmaker seek temporarily extension to internet spying program,0.0,0.0,0.0,0.0,2.0,9.0,9.0,4.0,4.0,1.0,0.0,0.0,0.0
58,top democrat say trump firing of mueller could provoke constitutional crisis,0.0,0.0,0.0,0.0,4.0,11.0,11.0,7.0,3.0,1.0,2.0,2.0,7.0
59,u tax bill may face lawsuit with long odds but political payoff,0.0,0.0,0.0,0.0,2.0,12.0,12.0,10.0,2.0,0.0,0.0,1.0,2.0
60,vote in senate on dreamer hinge on bipartisan pact mcconnell,0.0,0.0,0.0,0.0,5.0,9.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0
61,white house say tax bill will not hurt puerto rico,0.0,0.0,0.0,0.0,4.0,10.0,10.0,10.0,0.0,0.0,2.0,1.0,4.0
62,democrat plan to use tax bill to attack republican at midterm,0.0,0.0,0.0,0.0,2.0,10.0,11.0,8.0,3.0,0.0,0.0,1.0,1.0
63,after ruling virginia legislature majority to be chosen by lot,0.0,0.0,0.0,0.0,2.0,10.0,10.0,7.0,2.0,1.0,0.0,0.0,0.0
64,fight over alaska arctic drilling ha just begun opponent vow,0.0,0.0,0.0,0.0,3.0,10.0,10.0,8.0,2.0,0.0,2.0,2.0,6.333333333333333
65,senator cornyn trying to get big corn behind u biofuels reform,0.0,0.0,0.0,0.0,6.0,11.0,11.0,9.0,2.0,0.0,1.0,1.0,3.0
66,in georgia battle of the staceys test democrat future,0.0,0.0,0.0,0.0,4.0,9.0,9.0,6.0,3.0,0.0,0.0,1.0,1.0
67,democrat win by one vote in virginia legislative election recount,0.0,0.0,0.0,0.0,2.0,10.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0
68,fbi deputy director to sit for closed interview with house panel,0.0,0.0,0.0,0.0,4.0,11.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0
69,white house expects congress to waive spending cut triggered by tax overhaul,0.0,0.0,0.0,0.0,3.0,12.0,12.0,7.0,5.0,0.0,1.0,1.0,2.0
70,trump on twitter dec  tax bill,0.0,0.0,0.0,2.0,5.0,7.0,7.0,6.0,1.0,0.0,1.0,0.0,2.0
71,whats in the final republican tax bill,0.0,0.0,0.0,0.0,2.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0
72,trump market ha not fully digested tax cut change,0.0,0.0,0.0,0.0,2.0,9.0,9.0,8.0,1.0,0.0,1.0,1.0,4.0
73,white house aide see temporary funding fix for childrens health program,0.0,0.0,0.0,0.0,2.0,11.0,11.0,7.0,4.0,0.0,1.0,0.0,1.0
74,tax bill passthrough rule will aid wealthy not worker critic,0.0,0.0,0.0,0.0,1.0,10.0,10.0,8.0,1.0,1.0,2.0,1.0,5.0
75,u tax cut wont make housing more affordable analyst,0.0,0.0,0.0,0.0,2.0,9.0,9.0,6.0,3.0,0.0,1.0,1.0,2.0
76,bank healthcare service firm among winner from u tax bill,0.0,0.0,0.0,0.0,3.0,10.0,10.0,8.0,2.0,0.0,0.0,0.0,1.0
77,trump supreme court appointee gorsuch plot rightward course,0.0,0.0,0.0,0.0,4.0,8.0,8.0,4.0,4.0,0.0,3.0,1.0,8.0
78,republican seek to question fbi official in clinton probe letter,0.0,0.0,0.0,0.0,5.0,10.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0
79,trump aide hope win on tax will stem slide in poll number,0.0,0.0,0.0,0.0,1.0,12.0,12.0,12.0,0.0,0.0,3.0,0.0,6.0
80,congress face tricky path to avoid government shutdown,0.0,0.0,0.0,0.0,1.0,8.0,8.0,5.0,3.0,0.0,0.0,2.0,3.0
81,factbox  bigticket item at center of congress funding battle,0.0,0.0,0.0,0.0,3.0,10.0,10.0,6.0,4.0,0.0,0.0,1.0,1.0
82,senate parliamentarian rule against tax bill provision sander,0.0,0.0,0.0,0.0,2.0,8.0,8.0,5.0,2.0,1.0,0.0,1.0,1.0
83,senate panel snub trump pick to run exim ok other nominee,0.0,0.0,0.0,0.0,8.0,11.0,11.0,10.0,1.0,0.0,1.0,1.0,4.0
84,house will likely need to vote again on tax bill republican leader,0.0,0.0,0.0,0.0,2.0,12.0,12.0,11.0,1.0,0.0,1.0,0.6666666666666666,4.333333333333333
85,instant view house approves biggest tax overhaul in year senate next,0.0,0.0,0.0,2.0,4.0,11.0,11.0,7.0,4.0,0.0,0.0,0.0,2.0
86,senate begin debate on final republican tax bill,0.0,0.0,0.0,0.0,2.0,8.0,8.0,7.0,1.0,0.0,0.0,1.0,2.0
87,bill could make congress member liable for harassment payouts,0.0,0.0,0.0,0.0,2.0,9.0,9.0,6.0,3.0,0.0,0.0,2.0,4.0
88,green group sue trump administration over delay of methane rule,0.0,0.0,0.0,0.0,2.0,10.0,10.0,8.0,1.0,1.0,1.0,0.0,2.0
89,house democratic leader urging no vote on spending bill cnn reporter,0.0,0.0,0.0,0.0,5.0,11.0,11.0,8.0,3.0,0.0,1.0,0.0,1.0
90,penny to preside over senate tax bill vote his office confirms,0.0,0.0,0.0,0.0,2.0,11.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0
91,senate to vote on final tax bill tuesday evening mcconnell,0.0,0.0,0.0,0.0,4.0,10.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0
92,republican appear all but certain to pas tax legislation,0.0,0.0,0.0,0.0,1.0,9.0,9.0,6.0,2.0,1.0,0.0,0.0,2.0
93,court order trump administration to give immigrant teen abortion access,0.0,0.0,0.0,0.0,2.0,10.0,10.0,7.0,2.0,1.0,2.0,0.0,4.0
94,house plan would increase trump disaster aid request,0.0,0.0,0.0,0.0,2.0,8.0,8.0,5.0,3.0,0.0,1.0,1.0,5.0
95,house panel chair introduces  billion disaster aid bill,0.0,0.0,0.0,2.0,1.0,9.0,9.0,6.0,3.0,0.0,0.0,1.0,2.0
96,trump nominates liberty university professor to justice department post,0.0,0.0,0.0,0.0,5.0,9.0,9.0,3.0,6.0,0.0,3.0,0.0,5.0
97,trump on twitter dec  congressional race train accident tax cut,0.0,0.0,0.0,2.0,5.0,11.0,11.0,8.0,2.0,1.0,1.0,1.0,3.0
98,trump cabinet official to visit puerto rico to assess recovery,0.0,0.0,0.0,0.0,4.0,9.0,10.0,7.0,3.0,0.0,1.0,0.0,4.0
99,dreamer immigration bill not on u senate agenda this month,0.0,0.0,0.0,0.0,4.0,10.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0
100,senator warren hit out at effort to politicize u consumer agency,0.0,0.0,0.0,0.0,4.0,11.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0
101,trump strategy document say russia meddles in domestic affair worldwide,0.0,0.0,0.0,0.0,2.0,10.0,10.0,5.0,5.0,0.0,1.0,0.0,2.0
102,republican senator collins say she will vote for tax bill,0.0,0.0,0.0,0.0,3.0,10.0,10.0,7.0,3.0,0.0,1.0,0.0,2.0
103,democratic u senator seek audit of epa chief trip to morocco,0.0,0.0,0.0,0.0,7.0,11.0,11.0,8.0,3.0,0.0,1.0,0.0,1.0
104,republican senator lee say he will vote for tax bill,0.0,0.0,0.0,0.0,3.0,10.0,10.0,8.0,2.0,0.0,1.0,0.0,2.0
105,trump u ha no choice but to deal with north korea arm challenge,0.0,0.0,0.0,0.0,5.0,13.0,13.0,12.0,1.0,0.0,2.0,1.0,4.0
106,trump judicial nominee withdraws from consideration,0.0,0.0,0.0,0.0,1.0,6.0,6.0,2.0,3.0,1.0,1.0,0.0,3.0
107,trump call for u infrastructure plan after train derailment,0.0,0.0,0.0,0.0,3.0,9.0,9.0,7.0,1.0,1.0,1.0,0.0,2.0
108,final republican tax bill slash u corporate rate voting next week,0.0,0.0,0.0,0.0,4.0,11.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0
109,factbox whats in the final u republican tax bill,0.0,0.0,0.0,0.0,5.0,9.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0
110,trump defends tax plan a great christmas gift to middle class,0.0,0.0,0.0,0.0,2.0,11.0,11.0,9.0,2.0,0.0,2.0,0.0,4.0
111,house to vote on tax bill tuesday afternoon aide,0.0,0.0,0.0,0.0,2.0,9.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0
112,white house optimistic congress will avoid government shutdown,0.0,0.0,0.0,0.0,3.0,8.0,8.0,4.0,4.0,0.0,3.0,1.0,5.0
113,u taxpayer rush to claim deduction under threat from tax bill,0.0,0.0,0.0,0.0,2.0,11.0,11.0,9.0,2.0,0.0,0.0,1.0,2.0
114,republican confident tax bill to become law this week,0.0,0.0,0.0,0.0,1.0,9.0,9.0,7.0,2.0,0.0,1.0,0.0,2.0
115,republican senator john mccain leaf washington before expected tax vote,0.0,0.0,0.0,0.0,6.0,10.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0
116,trump say not considering firing u special counsel mueller,0.0,0.0,0.0,0.0,4.0,9.0,9.0,5.0,3.0,1.0,2.0,0.0,3.0
117,trump ally say mueller unlawfully obtained thousand of email,0.0,0.0,0.0,0.0,2.0,9.0,9.0,5.0,4.0,0.0,2.0,1.0,5.0
118,senatorelect jones not joining call for trump resignation,0.0,0.0,0.0,0.0,3.0,8.0,8.0,5.0,1.0,2.0,1.0,1.0,3.0
119,trump administration ban selected word at health agency paper,0.0,0.0,0.0,0.0,1.0,9.0,9.0,7.0,1.0,1.0,1.0,0.0,2.0
120,congressman will not seek relection amid misconduct probe,0.0,0.0,0.0,0.0,1.0,8.0,8.0,5.0,2.0,1.0,1.0,0.0,2.0
121,trump to say in security speech that china is competitor official,0.0,0.0,0.0,0.0,2.0,11.0,11.0,8.0,3.0,0.0,2.0,0.0,3.0
122,factbox trump on twitter december  quantico,0.0,0.0,0.0,2.0,5.0,7.0,7.0,3.0,4.0,0.0,1.0,0.0,2.0
123,republican tax bill retains u electric vehicle tax credit,0.0,0.0,0.0,0.0,3.0,8.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0
124,attorney general session ha lukewarm praise for fbi after trump attack,0.0,0.0,0.0,0.0,7.0,11.0,11.0,7.0,4.0,0.0,2.0,2.0,7.0
125,senate democrat to force vote on fcc net neutrality repeal,0.0,0.0,0.0,0.0,5.0,10.0,10.0,8.0,2.0,0.0,0.0,1.0,1.0
126,u lawmaker probed on sex report second congressman denies charge,0.0,0.0,0.0,0.0,2.0,10.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0
127,republican join push to lift secrecy around misconduct in congress,0.0,0.0,0.0,0.0,2.0,10.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0
128,trump official brief hill staff on saudi reactor enrichment a worry,0.0,0.0,0.0,0.0,3.0,11.0,11.0,8.0,3.0,0.0,2.0,1.0,5.0
129,u judge to lift house arrest for former trump campaign manager manafort,0.0,0.0,0.0,0.0,4.0,12.0,12.0,9.0,3.0,0.0,1.0,0.0,2.0
130,republican senator corker say he will support tax bill,0.0,0.0,0.0,0.0,3.0,9.0,9.0,6.0,3.0,0.0,2.0,0.0,3.666666666666667
131,rubio signal support for tax bill after child tax credit tweak,0.0,0.0,0.0,0.0,1.0,10.0,11.0,10.0,1.0,0.0,1.0,0.0,1.6666666666666667
132,u tax negotiator raising refundable portion of child tax credit congresswoman,0.0,0.0,0.0,0.0,2.0,10.0,11.0,6.0,4.0,1.0,0.0,0.0,0.0
133,republican have finalized compromise u tax bill chief house tax writer,0.0,0.0,0.0,0.0,4.0,10.0,11.0,8.0,3.0,0.0,1.0,0.0,1.0
134,republican senator rubio will back tax bill cnbc citing source,0.0,0.0,0.0,0.0,7.0,10.0,10.0,8.0,2.0,0.0,2.0,0.0,3.0
135,exclusive senator cruz want to cap renewable fuel credit at cent  document,0.0,0.0,0.0,2.0,3.0,13.0,13.0,9.0,4.0,0.0,2.0,0.0,4.0
136,trump administration issue new rule on u visa waiver,0.0,0.0,0.0,0.0,3.0,9.0,9.0,8.0,0.0,1.0,1.0,0.0,2.0
137,trump urge moore to concede alabama senate race,0.0,0.0,0.0,0.0,4.0,8.0,8.0,6.0,2.0,0.0,2.0,1.0,6.0
138,net neutrality repeal give democrat fresh way to reach millennials,0.0,0.0,0.0,0.0,2.0,10.0,10.0,7.0,2.0,1.0,1.0,0.0,1.0
139,a republican tax vote nears more senator waver,0.0,0.0,0.0,0.0,2.0,8.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0
140,factbox trump on twitter december  stock market federal regulation,0.0,0.0,0.0,2.0,5.0,10.0,10.0,5.0,5.0,0.0,1.0,0.0,2.0
141,house committee question head of trump campaign data firm source,0.0,0.0,0.0,0.0,2.0,10.0,10.0,7.0,3.0,0.0,1.0,0.0,3.0
142,republican governor meet with penny over nafta concern,0.0,0.0,0.0,0.0,7.0,8.0,8.0,5.0,3.0,0.0,0.0,1.0,1.6666666666666667
143,factbox provision of the u republican final tax bill,0.0,0.0,0.0,0.0,5.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0
144,house speaker ryan mull retirement after election politico,0.0,0.0,0.0,4.0,4.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0
145,republican representative farenthold will not seek reelection,0.0,0.0,0.0,0.0,3.0,7.0,7.0,3.0,2.0,2.0,1.0,0.0,2.0
146,alabama senate race winner urge republican rival to move on,0.0,0.0,0.0,0.0,3.0,10.0,10.0,8.0,2.0,0.0,1.0,1.0,4.0
147,fund manager seek stock benefiting from democratic gain in u election,0.0,0.0,0.0,4.0,4.0,11.0,11.0,7.0,4.0,0.0,2.0,0.0,2.0
148,factbox republican to keep an eye on a senate nears vote on tax bill,0.0,0.0,0.0,0.0,3.0,13.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0
149,republican house speaker ryan told trump retirement report wa rumor were not true white house,0.0,0.0,0.0,0.0,7.0,14.0,15.0,12.0,3.0,0.0,3.0,1.0,7.0
150,white house say will work with rubio on child tax credit,0.0,0.0,0.0,0.0,3.0,11.0,11.0,11.0,0.0,0.0,2.0,0.0,3.0
151,republican senator lee undecided on tax bill seek child credit change aide,0.0,0.0,0.0,0.0,3.0,12.0,12.0,9.0,3.0,0.0,0.0,1.0,1.0
152,u tax bill to preserve key renewable energy credit source say,0.0,0.0,0.0,0.0,2.0,11.0,11.0,9.0,2.0,0.0,0.0,0.0,2.0
153,u bill to allow property and income or sale tax deduction key lawmaker,0.0,0.0,0.0,0.0,2.0,13.0,13.0,10.0,3.0,0.0,1.0,0.0,2.0
154,senator mccain will vote on tax bill no republican,0.0,0.0,0.0,1.0,5.0,9.0,9.0,7.0,2.0,0.0,1.0,0.0,2.0
155,nominee for u epa chemical safety withdraws bloomberg,0.0,0.0,0.0,0.0,7.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0
156,senator burr tillis oppose trump epa nominee dourson report,0.0,0.0,0.0,0.0,8.0,9.0,9.0,6.0,3.0,0.0,1.0,1.0,4.0
157,penny delay middle east trip in case needed for u tax vote,0.0,0.0,0.0,0.0,5.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
158,kentucky lawmaker a probable suicide amid sexual misconduct accusation,0.0,0.0,0.0,0.0,1.0,9.0,9.0,3.0,6.0,0.0,0.0,2.0,3.0
159,mulvaney say u tax bill vote could be tuesday wednesday cnbc,0.0,0.0,0.0,0.0,9.0,11.0,11.0,8.0,3.0,0.0,0.0,0.0,1.0
160,donald trump jr want leak probe a congress russia probe press on,0.0,0.0,0.0,0.0,5.0,11.0,12.0,11.0,1.0,0.0,3.0,1.0,6.0
161,do not expect postcardsized tax return from republican plan expert,0.0,0.0,0.0,0.0,2.0,10.0,10.0,8.0,1.0,1.0,1.0,0.0,1.0
162,republican forge tax deal final vote seen next week,0.0,0.0,0.0,0.0,1.0,9.0,9.0,8.0,1.0,0.0,1.0,0.0,1.0
163,alabama win thrill democrat a republican point finger,0.0,0.0,0.0,0.0,3.0,8.0,8.0,5.0,3.0,0.0,1.0,0.0,3.0
164,trump eldest son testifies to senate committee in russia probe,0.0,0.0,0.0,0.0,3.0,10.0,10.0,8.0,2.0,0.0,1.0,0.0,2.0
165,what is in the republican final tax bill,0.0,0.0,0.0,0.0,2.0,8.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0
166,factbox what is in the u republican final tax bill,0.0,0.0,0.0,0.0,5.0,10.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0
167,minnesota lieutenant governor to replace franken in senate,0.0,0.0,0.0,0.0,3.0,8.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0
168,stopgap bill unveiled to fund u government until jan,0.0,0.0,0.0,2.0,4.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0
169,senior justice official dismisses republican charge of bias in trump probe,0.0,0.0,0.0,0.0,3.0,11.0,11.0,7.0,4.0,0.0,2.0,1.0,5.0
170,senator mccain treated for side effect of cancer therapy,0.0,0.0,0.0,0.0,3.0,9.0,9.0,6.0,3.0,0.0,0.0,1.0,1.0
171,trump dossier firm republican leaked bank record in retaliation,0.0,0.0,0.0,0.0,2.0,9.0,9.0,6.0,2.0,1.0,1.0,0.0,3.0
172,two trump judicial nomination rebuffed by senate,0.0,0.0,0.0,0.0,3.0,7.0,7.0,4.0,3.0,0.0,1.0,0.0,2.0
173,u prepares to open door on billiondollar london embassy,0.0,0.0,0.0,0.0,3.0,9.0,9.0,6.0,2.0,1.0,1.0,0.0,1.0
174,in elaborate hoax website say nfl redskin renamed a redhawks,0.0,0.0,0.0,0.0,6.0,10.0,10.0,5.0,5.0,0.0,0.0,1.0,4.0
175,after alabama upset democrat see new prospect in u south,0.0,0.0,0.0,0.0,6.0,10.0,10.0,7.0,3.0,0.0,1.0,1.0,2.0
176,schumer delay tax overhaul vote until new alabama senator seated,0.0,0.0,0.0,0.0,2.0,10.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0
177,republican senator corker say he is still undecided on tax bill,0.0,0.0,0.0,0.0,3.0,11.0,11.0,8.0,3.0,0.0,0.0,1.0,2.0
178,control of virginia state house at stake a recount begin,0.0,0.0,0.0,0.0,3.0,10.0,10.0,7.0,3.0,0.0,0.0,1.0,1.0
179,trump say he would accept percent corporate tax rate,0.0,0.0,0.0,2.0,1.0,9.0,9.0,7.0,2.0,0.0,2.0,0.0,4.0
180,house and senate reach deal on u tax legislation hatch,0.0,0.0,0.0,0.0,5.0,10.0,10.0,9.0,0.0,1.0,1.0,0.0,1.0
181,u house to stop using public fund for harassment settlement speaker,0.0,0.0,0.0,0.0,3.0,11.0,11.0,8.0,3.0,0.0,0.0,1.0,2.0
182,u house and senate leader reach agreement in principle on tax plan ap,0.0,0.0,0.0,0.0,6.0,13.0,13.0,11.0,2.0,0.0,2.0,0.0,2.0
183,white house aide omarosa manigault newman resigns,0.0,0.0,0.0,0.0,5.0,7.0,7.0,4.0,3.0,0.0,1.0,0.0,1.0
184,analyst view democrat jones win alabama u senate seat in blow to trump,0.0,0.0,0.0,0.0,9.0,13.0,13.0,10.0,3.0,0.0,1.0,1.0,5.0
185,top u senate democrat hopeful congress will help dreamer by year end,0.0,0.0,0.0,0.0,7.0,12.0,12.0,8.0,4.0,0.0,4.0,0.0,6.0
186,senator gillibrand call trump twitter post sexist smear,0.0,0.0,0.0,0.0,4.0,8.0,8.0,5.0,3.0,0.0,1.0,1.0,3.0
