,Text,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
17,say people are moving to milwaukee in record number,0.0,0.0,0.5,0.0,2.0,9.0,9.0,8.0,1.0,0.0,1.0,0.0,2.0
18,say barack obama said when he wa running for office four year ago that he would halve the annual deficit by the end of his first term that simply ha not happened,0.0,0.0,0.5,0.0,4.0,29.0,32.0,29.0,3.0,0.0,0.0,0.0,2.0
19,a million people  could get health insurance right away if texas expanded medicaid under obamacare,0.0,0.0,0.5,0.0,4.0,16.0,16.0,11.0,5.0,0.0,1.0,0.0,2.333333333333333
20,lol stand for lucifer our lord satanist end their prayer by saying lucifer our lord,0.0,0.0,0.0,0.0,8.0,12.0,15.0,12.0,3.0,0.0,1.0,0.0,1.0
21,david dewhurst currently owes more than  million to vendor for service provided to his u senate campaign,0.0,0.0,0.0,5.0,5.0,17.0,18.0,12.0,6.0,0.0,0.0,0.0,0.0
22,thirty million american including a lot of people in florida are going to be able to get healthcare next year because of that law,0.0,0.0,0.0,0.0,3.0,22.0,24.0,18.0,6.0,0.0,1.0,0.0,1.0
23,by declining the vax i am safe from adverse reaction and safe from covid,0.0,0.0,0.0,6.0,7.0,12.0,14.0,11.0,3.0,0.0,2.0,2.0,5.0
24,say a photo show that climate change protester left trash all over their protest side,0.0,0.0,0.0,0.0,1.0,15.0,15.0,12.0,3.0,0.0,0.0,1.0,3.0
25,we amass about  million in debt per hour which mean weve blown through million dollar during this charade,0.0,0.0,0.0,12.0,1.0,18.0,19.0,15.0,4.0,0.0,0.0,0.5,1.5
26,donald trump protester speaks out i wa paid  to protest trump rally,0.0,0.0,0.0,4.0,12.0,12.0,13.0,11.0,2.0,0.0,3.0,1.0,8.0
27,obama is the senate most liberal,0.0,0.0,0.5,0.0,2.0,6.0,6.0,5.0,1.0,0.0,1.0,0.0,2.0
28,say hillary clinton energy agenda will cost the u economy over  trillion,0.0,0.0,0.5,1.0,5.0,13.0,13.0,9.0,4.0,0.0,1.0,0.0,2.0
29,say hillary clinton ha called for a radical percent increase in syrian refugee despite the fact that there no way to screen these refugee in order to find out who they are or where they come from,0.0,0.0,0.5,3.0,4.0,33.0,37.0,29.0,8.0,0.0,0.0,2.0,6.0
30,tonight in ohio more people came out to vote for barack obama in an unopposed race than voted for mitt romney and rick santorum combined,0.0,0.0,0.0,0.0,8.0,23.0,25.0,21.0,4.0,0.0,0.0,0.0,0.0
31,most poll show foreign nation have lower regard for the u now than they did before obamas time,0.0,0.0,0.0,0.0,4.0,18.0,18.0,17.0,1.0,0.0,0.5,0.0,4.0
32,i have a perfect voting record from organization like the veteran of foreign war the american legion and all the other veteran service organization,0.0,0.0,0.0,0.0,6.0,20.0,24.0,16.0,6.0,2.0,2.0,1.0,5.0
33,fluoride in the water that wa originally done by the nazi,1.0,0.0,0.0,0.0,2.0,10.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0
34,say u senate candidate tommy thompson admitted that washington dc changed him into an insider selling his influence to make million from powerful special interest,0.0,0.0,2.0,0.0,9.0,25.0,25.0,13.0,12.0,0.0,3.0,0.0,4.0
35,say hillary clinton tripled the number of people with aid whose life are being saved and it did not cost you any more money,0.0,0.0,0.5,0.0,7.0,24.0,24.0,21.0,3.0,0.0,0.0,0.0,0.0
36,bill gate planned a smallpoxtype outbreak,0.0,0.0,0.0,0.0,2.0,6.0,6.0,3.0,2.0,1.0,0.0,1.0,1.0
37,california is st in the nation in per pupil k spending but no in per prisoner spending,0.0,0.0,1.0,5.0,3.0,13.0,17.0,13.0,4.0,0.0,0.0,1.0,1.0
38,maybe theyre just calling the common cold  the omicron variant,0.0,0.0,0.0,0.0,1.0,10.0,11.0,8.0,3.0,0.0,1.0,1.0,4.333333333333333
39,on tax president barack obama want to raise the top rate to percent,0.0,0.0,0.5,3.0,4.0,12.0,13.0,11.0,2.0,0.0,2.0,0.0,3.0
40,when the affordable care act wa signed million american child had a preexisting condition and were uninsurable,0.0,0.0,1.0,2.0,5.0,17.0,17.0,11.0,4.0,2.0,2.0,0.0,2.0
41,say president obama used government fund to pay for his personal vacation for the next year and trump sent him a bill,0.0,0.0,0.0,2.0,4.0,21.0,22.0,18.0,4.0,0.0,1.0,0.0,2.0
42,say rick scott pled the fifth time to avoid jail for medicare fraud,0.0,0.0,0.5,2.0,5.0,13.0,13.0,12.0,1.0,0.0,0.0,2.0,2.0
43,say a of november we were ranked th in the nation in term of job creation according to the u bureau of labor statistic,0.0,0.0,0.5,2.0,7.0,20.0,24.0,20.0,4.0,0.0,0.0,0.0,0.0
44,tarpon spring take it homeless to st petersburg,0.0,0.0,0.0,0.0,4.0,8.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0
45,a you know we apprehended over people in a single month that is a pace which if it continues for month would put u on a pace for nearly million apprehension on the border,0.0,0.0,0.0,9.0,2.0,27.0,34.0,30.0,2.0,2.0,0.0,1.0,5.0
46,president obamas own director of national intelligence admiral blair put it this way highvalue information came from interrogation in which those method were used and provided a deeper understanding of the alqaida organization that wa attacking this country,0.0,0.0,0.0,0.0,6.0,36.0,38.0,24.0,9.0,5.0,2.0,0.0,2.0
47,make no mistake the current spike in gas price is largely the fault of vladimir putin,0.0,0.0,0.0,0.0,4.0,15.0,16.0,12.0,4.0,0.0,0.0,2.0,5.0
48,say aaron rodgers is not the highest tax rate payer in wisconsin it the single mom getting grand in benefit with two kid who will lose cent on the dollar if she go and take a job,0.0,0.0,1.5,4.0,4.0,34.0,37.0,32.0,5.0,0.0,4.0,1.0,7.0
49,indiana state police offer to hire chicago officer who refuse to comply with vax mandate,0.0,0.0,0.0,0.0,18.0,14.0,15.0,11.0,4.0,0.0,0.0,1.0,2.0
50,black life matter say it stand with hamas terrorist in israeli conflict,0.0,0.0,0.0,0.0,5.0,12.0,12.0,9.0,3.0,0.0,1.0,2.0,4.0
51,italy ha decided not to treat their elderly for this virus,0.0,0.0,0.0,0.0,1.0,11.0,11.0,9.0,2.0,0.0,1.0,1.0,3.0
52,for the first time in history most new hire of prime working age are minority and woman,0.0,0.0,0.0,0.0,1.0,17.0,17.0,14.0,3.0,0.0,0.0,0.0,2.0
53,say susan collins pushed for policy that benefited her husband lobbying business,0.0,0.0,0.5,0.0,3.0,12.0,12.0,7.0,5.0,0.0,0.0,0.0,0.0
54,say since australia passed tough gun law homicide by firearm have declined almost percent,0.0,0.0,0.5,2.0,2.0,14.0,14.0,9.0,5.0,0.0,0.0,0.0,0.0
55,say a photo show bill clinton and christine blasey ford posing for a camera and smiling together,0.0,0.0,0.0,0.0,6.0,15.0,17.0,13.0,4.0,0.0,1.0,0.0,3.0
56,the koch brother have given paul ryan  in campaign contribution,0.0,0.0,1.0,6.0,4.0,11.0,11.0,8.0,2.0,1.0,1.0,0.0,1.0
57, billion over the next five year will be taken out of our public school and be put into voucher,0.0,0.0,0.0,1.0,0.0,19.0,20.0,18.0,2.0,0.0,1.0,0.0,2.0
58,say president trump donated his second quarter salary to rebuild military cemetery and that the medium ignored it and every other story of him donating his salary a potus,0.0,0.0,1.0,0.0,8.0,26.0,29.0,21.0,8.0,0.0,1.0,0.0,2.0
59,wisconsin middle class is the most diminished in the united state,0.0,0.0,1.0,0.0,3.0,10.0,11.0,9.0,2.0,0.0,0.0,0.0,1.0
60,say jeff stone  scott walker,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
61,our income our gdp per caput is almost percent higher than it is for the average european,0.0,0.0,0.0,2.0,5.0,15.0,17.0,14.0,3.0,0.0,0.0,0.0,0.0
62,million people could lose their current coverage  including our senior citizen who are on medicare,0.0,0.0,1.0,2.0,1.0,16.0,16.0,10.0,6.0,0.0,0.0,1.0,2.0
63,violent crime is now going down for the first time in a long while,0.0,0.0,0.0,0.0,1.0,14.0,14.0,13.0,1.0,0.0,0.0,4.0,5.0
64,despite having their budget increased by over percent since  pending claim for benefit with the department of veteran affair have increased from to under the obama administration,0.0,0.0,0.0,18.0,6.0,26.0,28.0,19.0,8.0,1.0,1.0,1.0,4.0
65,george bush sent people to war without body armor,0.0,0.0,0.0,0.0,2.0,9.0,9.0,8.0,1.0,0.0,0.0,1.0,1.0
66,barack obama set up antipandemic program in vulnerable country a a way to protect against something like the coronavirus exactly do you know that trump closed of them,1.0,0.0,0.0,4.0,4.0,27.0,28.0,19.0,7.0,2.0,4.0,1.0,12.0
67,the electoral college is much more advantageous for democrat,0.0,0.0,0.0,0.0,4.0,9.0,9.0,5.0,3.0,1.0,1.0,0.0,3.0
68,a federal pilot program to dna test illegal immigrant showed something like of test subject are fake family,0.0,0.0,0.5,2.0,4.0,17.0,18.0,12.0,6.0,0.0,1.0,2.0,5.0
69,pfizer staged the will smith and chris rock confrontation at the academy award because it ha a new alopecia medication coming out,0.0,0.0,0.5,0.0,7.0,21.0,22.0,17.0,4.0,1.0,2.0,1.0,5.0
70,president barack obama said over time he did not have the legal authority to act a he did on immigration,0.0,0.0,1.0,2.0,3.0,18.0,20.0,17.0,2.0,1.0,0.0,0.0,0.0
71,wayfair ceo step down,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0
72,a photo show two men on the run who pretend to be homeless and then attack and rob you,0.0,0.0,0.5,0.0,1.0,18.0,19.0,17.0,2.0,0.0,0.0,2.0,4.0
73,boston marathon bombing suspect tamerlan tsarnaev is buried not far from president kennedy grave,0.0,0.0,1.0,0.0,6.0,14.0,14.0,7.0,7.0,0.0,0.0,2.0,3.0
74,cnn say dick cheney will be advising biden on foreign policy,0.0,0.0,0.0,0.0,6.0,11.0,11.0,9.0,2.0,0.0,1.0,0.0,2.0
75,ninetyfour percent of the bill that pas the senate have no debate no vote no amendment no reading of the bill no online disclosure,0.0,0.0,0.0,0.0,2.0,16.0,24.0,19.0,4.0,1.0,0.0,1.0,2.0
76,florida decided middle school student will be taught that enslaved people benefited from slavery,0.0,0.0,0.5,0.0,1.0,14.0,14.0,8.0,6.0,0.0,1.0,0.0,2.0
77,on tax if you go back and look year ago individual paid about percent of the total and corporation paid percent fast forward year individual still percent corporation are down to percent,0.0,0.0,0.5,8.0,2.0,24.0,32.0,23.0,7.0,2.0,1.0,1.0,5.0
78,the american people have endured consecutive month of or higher unemployment and million job have been lost since the stimulus bill wa signed,0.0,0.0,0.5,5.0,2.0,21.0,23.0,17.0,4.0,2.0,0.0,1.0,1.0
79,mark kelly voted to allow prison inmate to receive stimulus check five separate time,0.0,0.0,0.5,0.0,2.0,13.0,14.0,11.0,3.0,0.0,1.0,1.0,2.0
80,this election mark the largest senate gain for a president party in a first midterm election since at least president kennedy in,0.0,0.0,0.0,4.0,4.0,18.0,22.0,15.0,7.0,0.0,1.0,1.0,2.0
81,firework have never been safer and their use continues to increase each year,0.0,0.0,0.0,0.0,1.0,13.0,13.0,10.0,3.0,0.0,0.0,0.0,0.0
82,many of the founding father were very actively involved in cockfighting,0.0,0.0,1.5,0.0,1.0,11.0,11.0,7.0,3.0,1.0,0.0,0.0,1.0
83,state law say that once the state appraises a piece of property they can only pay it a certain amount above appraisal,0.0,0.0,0.0,0.0,1.0,20.0,22.0,18.0,4.0,0.0,1.0,0.0,2.0
84,the united state is about th in voter turnout among the industrialized nation and texas is near the bottom in term of voter registration and voter turnout,0.0,0.0,0.0,3.0,4.0,19.0,27.0,23.0,2.0,2.0,0.0,0.0,0.0
85,the state of texas doe not even use the everify system to determine if someone is legally in our country when they apply for a job,0.0,0.0,0.0,0.0,5.0,25.0,26.0,21.0,5.0,0.0,1.0,0.0,1.0
86,because gov chris christie vetoed a bill job creation package new jersey rank th in the nation in job creation,0.0,0.0,0.5,4.0,6.0,17.0,20.0,15.0,5.0,0.0,0.0,1.0,2.0
87,patrick rose voted to explore a state income tax,0.0,0.0,0.5,0.0,2.0,9.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0
88,the supreme court ruled today no voting by mail,3.0,0.0,0.0,0.0,17.0,9.0,9.0,8.0,1.0,0.0,2.0,0.0,4.0
89,if you make the average amount of people in wisconsin  you got  less a week in tax under the state incometax cut but it didnt show up in your paycheck,0.0,0.0,1.0,8.0,2.0,27.0,32.0,28.0,4.0,0.0,0.0,2.0,3.0
90,a recent obama executive order could lead to a number of investigation by interpol in the united state potentially aimed at american official,0.0,0.0,0.5,0.0,6.0,22.0,23.0,17.0,4.0,2.0,0.0,0.0,1.0
91,hacker broke into virginia prescriptiondrug database and obtained more than million patient record and a total of nearly million prescription,0.0,0.0,0.0,4.0,2.0,18.0,20.0,12.0,6.0,2.0,1.0,1.0,2.0
92,we have more natural gas in this country than saudi arabia ha oil,0.0,0.0,0.0,0.0,3.0,13.0,13.0,11.0,2.0,0.0,1.0,0.0,1.0
93,say he made a record investment in school,0.0,0.0,0.5,0.0,1.0,8.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0
94,senator mccain ha been talking tough about earmark and thats good but earmark account for about billion of our budget,0.0,0.0,0.0,2.0,3.0,18.0,20.0,14.0,6.0,0.0,1.0,0.0,1.0
95,say washington reach extends to even telling u what kind of light bulb we can use,0.0,0.0,0.5,0.0,2.0,16.0,16.0,13.0,3.0,0.0,3.0,0.0,4.0
96,sen raphael warnock voted for welfare for politician plan up to  million of government money for warnocks own political campaign,0.0,0.0,0.5,2.0,5.0,19.0,21.0,12.0,9.0,0.0,1.0,0.0,1.0
97,january through november the year so far were the hottest first month of any year recorded,0.0,0.0,0.0,6.0,2.0,14.0,16.0,11.0,5.0,0.0,0.0,0.0,1.0
98,a a youth i got arrested protesting for civil right,0.0,0.0,1.0,0.0,2.0,9.0,10.0,8.0,2.0,0.0,2.0,0.0,2.333333333333333
99,new mexico moved up to sixth in the nation in job growth,0.0,0.0,1.0,0.0,2.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
100,i never once asked that megyn kelly be removed a a debate moderator,0.0,0.0,0.5,0.0,3.0,12.0,13.0,11.0,2.0,0.0,0.0,1.0,2.0
101,we have over million people who live in texas and less than percent of them have concealed handgun license,0.0,0.0,0.5,3.0,2.0,18.0,19.0,14.0,5.0,0.0,1.0,1.0,2.0
102,the russian are violating all of the rule treaty understanding that they committed to that actually kept the peace in europe for nearly year,0.0,0.0,0.0,2.0,3.0,21.0,24.0,19.0,4.0,1.0,2.0,0.0,4.0
103,a mcdonalds restaurant in elkton md wa permanently closed due to a sex trafficking investigation,0.0,0.0,0.5,0.0,5.0,14.0,15.0,10.0,2.0,3.0,0.0,0.0,0.0
104,abortion pill are dangerous and in woman will suffer a complication,0.0,0.0,0.5,2.0,1.0,11.0,11.0,8.0,2.0,1.0,1.0,3.0,5.0
105,say nancy pelosi made million in coronavirus insider trading,0.0,0.0,0.5,0.0,3.0,9.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0
106,the baucus health care bill would drastically restrict the use of flexible spending account fsas in order to help pay for health care reform,0.0,0.0,0.5,0.0,5.0,21.0,24.0,19.0,4.0,1.0,5.0,2.0,10.0
107,they were never my comment that a woman cant get pregnant from rape,0.0,0.0,1.0,0.0,1.0,13.0,13.0,11.0,2.0,0.0,0.0,0.0,1.0
108,virginia man arrested for having minecraft world that were exact replica of classified u military base,0.0,0.0,0.0,0.0,4.0,16.0,16.0,10.0,6.0,0.0,0.0,0.0,2.0
109,before we even passed health care million kid got health insurance that didnt have it before through the childrens health insurance program,0.0,0.0,0.0,1.0,5.0,18.0,22.0,16.0,6.0,0.0,3.0,0.0,4.0
110,president obama is shrinking our military,0.0,0.0,0.0,0.0,2.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0
111,barack obama openly supported opposition leader raila odinga during his visit to africa in,0.0,0.0,0.5,4.0,5.0,14.0,14.0,12.0,2.0,0.0,1.0,1.0,3.0
112,obamas approval number are in the low s,0.0,0.0,0.0,2.0,1.0,8.0,8.0,7.0,1.0,0.0,1.0,1.0,2.0
113,police say thousand of people witnessed a demonic portal opening above white house,0.0,0.0,0.5,0.0,3.0,13.0,13.0,9.0,4.0,0.0,2.0,1.0,4.0
114,under gov john kasichs budget proposal the top one percent in ohio will pay  less in income tax each year but ohio working and middle class family will pay more,0.0,0.0,0.5,5.0,6.0,27.0,31.0,27.0,4.0,0.0,3.0,1.0,6.0
115,say he will protect your guaranteed benefit in medicare while mitt romney would take away medicare a guaranteed benefit,0.0,0.0,1.5,0.0,5.0,16.0,19.0,12.0,7.0,0.0,4.0,0.0,6.0
116,say fluid milk production limitation mean grocery store are short on milk even a farmer are dumping it,0.0,0.0,0.0,0.0,1.0,16.0,18.0,14.0,4.0,0.0,1.0,1.5,3.5
117,there would be ten of thousand of job created if president barack obama approved the keystone xl pipeline,0.0,0.0,0.5,0.0,7.0,17.0,18.0,12.0,6.0,0.0,0.0,0.0,1.0
118,california gov gavin newsom just let inmate out of jail,0.0,0.0,0.5,5.0,4.0,10.0,10.0,9.0,1.0,0.0,1.0,0.0,1.3333333333333333
119,lindsay parkhurst want to take away program like social security and medicare that senior have earned throughout their lifetime,0.0,0.0,0.0,0.0,5.0,19.0,19.0,12.0,7.0,0.0,3.0,0.0,5.0
120,say a video show joe biden boasted in about voting for mile of fence and talking about immigration in some entirely different way than he doe today,0.0,0.0,1.5,7.0,3.0,25.0,27.0,22.0,4.0,1.0,0.0,0.0,3.0
121,el paso is the safest city in the state of texas safest city in the united state,0.0,0.0,0.5,0.0,5.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
122,say portland ha higher standard than fed on allowed police use of force,0.0,0.0,0.5,0.0,2.0,13.0,13.0,10.0,3.0,0.0,0.0,1.0,1.0
123,say sen bill nelson is a socialist,0.0,0.0,0.0,0.0,4.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0
124,one would have to go back more than a century to find a scenario where a president nominee for the supreme court wa confirmed by the opposition party in the senate when the vacancy occurred during an election year,0.0,0.0,0.0,0.0,4.0,33.0,39.0,29.0,10.0,0.0,3.0,1.0,8.0
125,in betty sutton voted to destroy medicare,0.0,0.0,0.5,4.0,4.0,7.0,7.0,5.0,2.0,0.0,0.0,1.0,1.0
126,exporter are using a federal loophole to deceptively sell product made from cat and dog fur to u consumer,0.0,0.0,1.0,0.0,3.0,18.0,19.0,13.0,5.0,1.0,0.0,2.0,4.0
127,say murder is the chief cause of death for pregnant woman,0.0,0.0,0.0,0.0,1.0,11.0,11.0,10.0,1.0,0.0,0.0,2.0,2.0
128,every family health insurance policy ha a  hidden tax to subsidize health care cost of the uninsured,0.0,0.0,1.0,3.0,1.0,17.0,18.0,15.0,3.0,0.0,1.0,1.0,2.0
129,say if congress doesnt avoid the sequester ten of thousand of parent will have to scramble to find child care for their kid,0.0,0.0,0.5,0.0,2.0,21.0,23.0,19.0,4.0,0.0,3.0,1.0,6.0
130,the state capitol police recommended banning gun at the capitol,0.0,0.0,1.0,0.0,5.0,8.0,10.0,6.0,3.0,1.0,1.0,0.0,2.0
131,the no cause of death for africanamerican male  is murder,0.0,0.0,0.0,5.0,4.0,11.0,11.0,10.0,0.0,1.0,0.0,2.0,2.0
132,the ukrainian government just indicted the burisma gas company named hunter biden for accepting million of dollar from a slush fund,0.0,0.0,0.0,0.0,5.0,20.0,21.0,14.0,7.0,0.0,1.0,0.0,1.3333333333333333
133,muslim attempted to establish the first islamic sharia court inside the united state in the town of irving texas,0.0,0.0,0.5,0.0,7.0,17.0,19.0,16.0,3.0,0.0,1.0,0.0,2.0
134,say austin mayor lee leffingwell voted for a toll lane on mopac,0.0,0.0,0.0,0.0,7.0,12.0,12.0,11.0,0.0,1.0,0.0,1.0,1.0
135,say tommy tuberville quit on his player all four time that he wa a college football coach,0.0,0.0,1.0,0.0,3.0,17.0,17.0,14.0,3.0,0.0,0.0,1.0,2.0
136,abraham lincoln visited and some say even danced in the ohio senate chamber,0.0,0.0,0.5,0.0,4.0,13.0,13.0,9.0,4.0,0.0,1.0,0.0,1.0
137,first he said he would take all of our troop out in six month and now he acknowledges it would take a year,0.0,0.0,0.0,0.0,1.0,19.0,23.0,22.0,0.0,1.0,0.0,0.0,2.0
138,silicon valley bank donated m to blm movement,0.0,0.0,0.5,2.0,8.0,8.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0
139,say michele bachmann said the chinese built a great wall year ago you dont see any illegal mexican in china,0.0,0.0,0.5,4.0,10.0,20.0,20.0,15.0,5.0,0.0,1.0,1.0,3.0
140,barack obama reject everyone white including his mother and his grandparent,0.0,0.0,0.5,0.0,2.0,10.0,11.0,8.0,2.0,1.0,1.0,1.0,3.0
141,rejected vote by mail ballot in dekalb county need to be cured by friday or they will be tossed,0.0,0.0,0.0,5.0,4.0,17.0,19.0,18.0,1.0,0.0,1.0,0.6666666666666666,3.333333333333333
142,say barack obama wa silent on iran when the student took to the street in tehran and the people there protested and the green revolution occurred,0.0,0.0,0.5,0.0,7.0,22.0,26.0,22.0,4.0,0.0,1.0,0.0,1.0
143,in florida child are required to take their first standardized test within day of beginning kindergarten and gov desantis want to extend that requirement to preschooler,0.0,0.0,0.0,2.0,5.0,24.0,26.0,18.0,4.0,4.0,1.0,0.0,2.0
144,baltimore spends the third highest per caput on it public school,0.0,0.0,0.0,0.0,1.0,11.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0
145,seventyfive percent of the young adult in this country are not mentally or physically fit to serve,0.0,0.0,0.0,0.0,1.0,17.0,17.0,12.0,4.0,1.0,1.0,0.0,2.0
146,joe biden is proposing that any family who try to pas a business or a farm down to their son or daughter or grandson or granddaughter are going to pay a huge new tax,0.0,0.0,0.0,0.0,2.0,27.0,34.0,29.0,4.0,1.0,0.0,2.0,3.0
147,say he a retired u navy officer,0.0,0.0,0.5,0.0,4.0,7.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0
148,obamacare wa the republican plan in the early s,0.0,0.0,0.5,2.0,2.0,8.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0
149,never once did they house republican actually cut spending or reduce the state budget even when they cut tax in they increased spending they never paid for their tax cut,0.0,0.0,0.0,4.0,5.0,22.0,30.0,25.0,5.0,0.0,1.0,3.0,6.0
150,an antivaccine activist documented intimidation tactic used against her the day before she wa killed,0.0,0.0,0.0,0.0,1.0,15.0,15.0,10.0,3.0,2.0,0.0,2.0,4.0
151,say florida economy is largely propped up on lowwage work,0.0,0.0,0.5,0.0,2.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,1.0
152,cdc covid survival rate are for people age to for people age to for people age to and for people over,0.0,0.0,0.5,30.0,8.0,11.0,21.0,20.0,1.0,0.0,1.0,0.0,1.0
153,most federal employee do not have collective bargaining for benefit nor for pay,0.0,0.0,0.0,0.0,1.0,12.0,13.0,8.0,5.0,0.0,1.0,0.0,2.0
154,a few month ago when you were asked whats the biggest geopolitical threat facing america you said russia,0.0,0.0,0.0,0.0,3.0,17.0,18.0,15.0,2.0,1.0,0.0,1.0,1.0
155,today russia hold many of our most precious national security satellite at risk before they ever get off the ground,0.0,0.0,0.0,0.0,2.0,20.0,20.0,16.0,4.0,0.0,1.6666666666666663,1.0,5.0
156,say he wa endorsed by the valley news newspaper,0.0,0.0,0.0,0.0,3.0,9.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0
157,newgard owed more than  for unpaid tax on his  million milwaukie apartment complex,0.0,0.0,0.0,6.0,2.0,14.0,15.0,10.0,5.0,0.0,0.0,1.0,1.0
158,say donald trump contradicted his own administration when he said the decision to allow blueprint for dprinted gun to be distributed doesnt seem to make much sense,0.0,0.0,0.5,1.0,4.0,25.0,27.0,21.0,3.0,3.0,3.0,0.0,6.0
159,a a result of national rifle association and other privatesector safetyeducation program fatal firearm accident are at the lowest level in year,0.0,0.0,0.0,3.0,4.0,21.0,22.0,15.0,4.0,3.0,0.0,1.0,1.0
160,casualty and death are at their lowest point since literally the beginning of the war,0.0,0.0,0.5,0.0,1.0,14.0,15.0,12.0,3.0,0.0,0.0,3.0,4.0
161,american would run out of avocado in three week if import from mexico were stopped due to a border closure,0.0,0.0,1.0,0.0,2.0,20.0,20.0,16.0,4.0,0.0,0.0,0.0,1.0
162,since sherrod brown and the democrat rammed the economic stimulus bill through ohio unemployment rate ha risen to percent above the national average,0.0,0.0,1.5,2.0,5.0,21.0,23.0,14.0,8.0,1.0,1.0,0.0,1.0
163,in cuyahoga county percent of weekend voter in were african american while adult african american comprise percent of the county population,0.0,0.0,0.0,8.0,7.0,15.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0
164,when president then candidate obama wa asked to disclose some of his donor because there wa suspicion of their being the foreign source of money into his campaign they refused to do it,0.0,0.0,0.0,0.0,3.0,28.0,33.0,25.0,8.0,0.0,0.0,1.0,1.0
